epoch,step,train/loss,val/auroc,val/auroc_Brocho-pneumonia,val/auroc_Bronchiolitis,val/auroc_Bronchitis,val/auroc_No finding,val/auroc_Other disease,val/auroc_Pneumonia,val/loss
0,342,,0.6297457814216614,0.6034616231918335,0.533845067024231,0.6187020540237427,0.6660757660865784,0.603088915348053,0.753301203250885,1.0445101261138916
0,342,1.150373935699463,,,,,,,,
1,685,,0.6461915969848633,0.6100035905838013,0.5695435404777527,0.6234104037284851,0.67253577709198,0.6288798451423645,0.7727764844894409,1.0353633165359497
1,685,1.1348700523376465,,,,,,,,
2,1028,,0.6527224183082581,0.6094627380371094,0.5901244878768921,0.6263477206230164,0.6738991737365723,0.6381346583366394,0.7783658504486084,1.0235295295715332
2,1028,1.1242437362670898,,,,,,,,
3,1371,,0.6564500331878662,0.6100035905838013,0.6015629172325134,0.6277990937232971,0.6731442213058472,0.6450122594833374,0.7811779379844666,1.0121760368347168
3,1371,1.1163218021392822,,,,,,,,
4,1714,,0.6575186252593994,0.6122829914093018,0.6054080128669739,0.6275658011436462,0.6734484434127808,0.6437264680862427,0.782680094242096,1.0103914737701416
4,1714,1.110556721687317,,,,,,,,
5,2057,,0.6577951312065125,0.6121928691864014,0.6074689030647278,0.6277472376823425,0.6719911694526672,0.6448478102684021,0.7825228571891785,1.0046863555908203
5,2057,1.1058728694915771,,,,,,,,
6,2400,,0.6631565093994141,0.6385798454284668,0.6039142608642578,0.6228142976760864,0.6854333281517029,0.6350547075271606,0.7931426167488098,1.0027012825012207
6,2400,1.0935062170028687,,,,,,,,
7,2743,,0.6643051505088806,0.6483670473098755,0.5990594625473022,0.6222009062767029,0.6865037679672241,0.6311075687408447,0.798592209815979,0.9840989708900452
7,2743,1.0768040418624878,,,,,,,,
8,3086,,0.6655592322349548,0.6559006571769714,0.593914270401001,0.6287062168121338,0.6829995512962341,0.6319149732589722,0.7999196648597717,0.9709981083869934
8,3086,1.063310980796814,,,,,,,,
9,3429,,0.6648718118667603,0.6610647439956665,0.581313967704773,0.6342957615852356,0.6776024103164673,0.6354883313179016,0.799465537071228,0.9796541333198547
9,3429,1.0508941411972046,,,,,,,,
10,3772,,0.6646185517311096,0.6654689908027649,0.5699446797370911,0.639349639415741,0.6737902164459229,0.6341726183891296,0.804984986782074,0.9598665833473206
10,3772,1.0394551753997803,,,,,,,,
11,4115,,0.665808916091919,0.670336902141571,0.5604149103164673,0.6422869563102722,0.674714207649231,0.6375216841697693,0.8095787167549133,0.9421412944793701
11,4115,1.029107928276062,,,,,,,,
12,4458,,0.6661590933799744,0.6714186072349548,0.5563347339630127,0.6431940793991089,0.6738128066062927,0.6441002488136292,0.8080940246582031,0.9561576247215271
12,4458,1.019299864768982,,,,,,,,
13,4801,,0.6657060384750366,0.6757585406303406,0.5486445426940918,0.6448182463645935,0.6735198497772217,0.6445188522338867,0.8069761991500854,0.9505454897880554
13,4801,1.0119805335998535,,,,,,,,
14,5144,,0.6668520569801331,0.6773554086685181,0.5471230745315552,0.6508224606513977,0.6738014817237854,0.6458196043968201,0.8061901926994324,0.9464580416679382
14,5144,1.0045732259750366,,,,,,,,
15,5487,,0.665015697479248,0.6797120571136475,0.5432918667793274,0.6495265960693359,0.6734446883201599,0.6426798701286316,0.8014392256736755,0.9459571838378906
15,5487,0.9995768666267395,,,,,,,,
16,5830,,0.6667423248291016,0.6855586171150208,0.5453388690948486,0.6521615386009216,0.6746315360069275,0.6433676481246948,0.7993956804275513,0.9535418748855591
16,5830,0.9941369891166687,,,,,,,,
17,6173,,0.6687972545623779,0.68625408411026,0.5451866984367371,0.6537943482398987,0.6784812808036804,0.6482566595077515,0.8008104562759399,0.930001437664032
17,6173,0.9890371561050415,,,,,,,,
18,6516,,0.6703342199325562,0.6863442063331604,0.5478284955024719,0.6528526544570923,0.6793188452720642,0.6545361876487732,0.8011248707771301,0.9322497248649597
18,6516,0.9840773344039917,,,,,,,,
19,6859,,0.6685272455215454,0.6859835982322693,0.5435269474983215,0.6552111506462097,0.6745489239692688,0.6549249291419983,0.7969678044319153,0.9528767466545105
19,6859,0.9799724221229553,,,,,,,,
20,7202,,0.6729324460029602,0.6886622309684753,0.5509405136108398,0.6588309407234192,0.6817075610160828,0.6575862765312195,0.7998672723770142,0.9321917295455933
20,7202,0.9755114912986755,,,,,,,,
21,7545,,0.6709801554679871,0.689692497253418,0.5478699803352356,0.6574400663375854,0.6786878705024719,0.6561658978462219,0.7960246205329895,0.9444555640220642
21,7545,0.9715898036956787,,,,,,,,
22,7888,,0.6747774481773376,0.6940323710441589,0.5582019090652466,0.6600836515426636,0.6842727661132812,0.6574816107749939,0.7945923209190369,0.9307189583778381
22,7888,0.9674385190010071,,,,,,,,
23,8231,,0.6750685572624207,0.6950239539146423,0.559626579284668,0.6596862077713013,0.6860342621803284,0.6575264930725098,0.7925137877464294,0.9301220774650574
23,8231,0.9641514420509338,,,,,,,,
24,8574,,0.6779805421829224,0.6952428817749023,0.5638312697410583,0.6625285148620605,0.6875666379928589,0.662864089012146,0.7958499193191528,0.9220790266990662
24,8574,0.9601354598999023,,,,,,,,
25,8917,,0.6809230446815491,0.6979730129241943,0.5713692903518677,0.6638243794441223,0.6889150142669678,0.6653011441230774,0.7981555461883545,0.9221034049987793
25,8917,0.9568168520927429,,,,,,,,
26,9260,,0.6800789833068848,0.6980631351470947,0.5711756348609924,0.6636170148849487,0.6865262985229492,0.6667962670326233,0.7942953705787659,0.9338579177856445
26,9260,0.9526949524879456,,,,,,,,
27,9603,,0.6822370290756226,0.6974836587905884,0.5779668092727661,0.6636602282524109,0.6893506646156311,0.6675736904144287,0.7973870038986206,0.9219277501106262
27,9603,0.949768602848053,,,,,,,,
28,9946,,0.6814183592796326,0.6993638277053833,0.5705808997154236,0.6646623611450195,0.6878671050071716,0.6696968078613281,0.7963389754295349,0.9277722835540771
28,9946,0.9467682838439941,,,,,,,,
29,10289,,0.6833556890487671,0.6998274326324463,0.5756016373634338,0.6668999195098877,0.6903985738754272,0.6709975600242615,0.7964088320732117,0.9181680679321289
29,10289,0.9439117908477783,,,,,,,,
30,10632,,0.6829611659049988,0.7022871375083923,0.5744398236274719,0.6679452657699585,0.6883553862571716,0.6688894033432007,0.7958499193191528,0.9339137673377991
30,10632,0.9413623213768005,,,,,,,,
31,10975,,0.6843751072883606,0.7005099654197693,0.5797925591468811,0.6685154438018799,0.6891403794288635,0.671027421951294,0.7972646951675415,0.9271486401557922
31,10975,0.9376065135002136,,,,,,,,
32,11318,,0.6836368441581726,0.7024931907653809,0.5737482905387878,0.6664938926696777,0.6880699396133423,0.6736289858818054,0.7973870038986206,0.9324827194213867
32,11318,0.9344882965087891,,,,,,,,
33,11661,,0.684363603591919,0.7046566605567932,0.5789487957954407,0.6689387559890747,0.6904924511909485,0.6706835627555847,0.7924613952636719,0.9278720021247864
33,11661,0.9306259155273438,,,,,,,,
34,12004,,0.6821538805961609,0.7034075260162354,0.5753942131996155,0.6661828756332397,0.6871985793113708,0.6702350378036499,0.7905051112174988,0.9338963031768799
34,12004,0.9293723106384277,,,,,,,,
35,12347,,0.6865700483322144,0.7058542966842651,0.5846611261367798,0.6691461205482483,0.6900042295455933,0.6745858788490295,0.7951687574386597,0.9373084306716919
35,12347,0.9264636635780334,,,,,,,,
36,12690,,0.6883225440979004,0.7061119079589844,0.5870539546012878,0.6708912253379822,0.690672755241394,0.6772770881652832,0.7979284524917603,0.927211344242096
36,12690,0.9241097569465637,,,,,,,,
37,13033,,0.6908249258995056,0.7058672308921814,0.5961272716522217,0.6716514825820923,0.6945450305938721,0.6782190203666687,0.7985398173332214,0.9195605516433716
37,13033,0.9214215278625488,,,,,,,,
38,13376,,0.6892720460891724,0.7082753777503967,0.5909820199012756,0.6694225668907166,0.6932755708694458,0.6766042709350586,0.7970725893974304,0.9261369705200195
38,13376,0.9190230369567871,,,,,,,,
39,13719,,0.6889837384223938,0.7062020301818848,0.592655599117279,0.6693620681762695,0.6923628449440002,0.6749895215034485,0.7983301877975464,0.925449013710022
39,13719,0.915452778339386,,,,,,,,
40,14062,,0.6863408088684082,0.7053778171539307,0.5871230959892273,0.667547881603241,0.6877920031547546,0.6724328398704529,0.7977712750434875,0.9388962984085083
40,14062,0.9127938151359558,,,,,,,,
41,14405,,0.6881839632987976,0.7054551243782043,0.5888381600379944,0.6686795949935913,0.6883591413497925,0.6765593886375427,0.8012121915817261,0.9477157592773438
41,14405,0.9099751710891724,,,,,,,,
42,14748,,0.691088080406189,0.7074382901191711,0.5967358350753784,0.670692503452301,0.6926934123039246,0.6789964437484741,0.7999720573425293,0.9274383783340454
42,14748,0.9087404012680054,,,,,,,,
43,15091,,0.6891165375709534,0.7077216506004333,0.5949239134788513,0.6665284633636475,0.6918708682060242,0.6765295267105103,0.797124981880188,0.9285047650337219
43,15091,0.906501054763794,,,,,,,,
44,15434,,0.6914483904838562,0.7062277793884277,0.5975103974342346,0.6698890924453735,0.6938765048980713,0.6789964437484741,0.8021903038024902,0.9282309412956238
44,15434,0.9033737778663635,,,,,,,,
45,15777,,0.6886095404624939,0.7082753777503967,0.5898893475532532,0.6686709523200989,0.6886783838272095,0.6758567094802856,0.8002864718437195,0.9403088688850403
45,15777,0.9020447731018066,,,,,,,,
46,16120,,0.6916436553001404,0.7091639637947083,0.598616898059845,0.6694916486740112,0.6933431625366211,0.6765145659446716,0.8027318120002747,0.9334499835968018
46,16120,0.8991478681564331,,,,,,,,
47,16463,,0.696091890335083,0.7113918662071228,0.6095850467681885,0.6713663935661316,0.6965205669403076,0.6823006868362427,0.8053867220878601,0.9248645305633545
47,16463,0.8973564505577087,,,,,,,,
48,16806,,0.6906628608703613,0.7089064121246338,0.5957399606704712,0.668558657169342,0.6905901432037354,0.6766640543937683,0.803517758846283,0.9390231966972351
48,16806,0.8947389721870422,,,,,,,,
49,17149,,0.691821277141571,0.7102199792861938,0.5995988845825195,0.6700100302696228,0.6940417289733887,0.6754081845283508,0.8016488552093506,0.9254865050315857
49,17149,0.8925811648368835,,,,,,,,
50,17492,,0.6966010928153992,0.7131561040878296,0.6142047047615051,0.6709344387054443,0.6990557909011841,0.6783535480499268,0.8039020299911499,0.9199092984199524
50,17492,0.8899452686309814,,,,,,,,
51,17835,,0.6932337880134583,0.7110312581062317,0.6040802001953125,0.6704765558242798,0.6962200999259949,0.676365077495575,0.8012296557426453,0.9221571087837219
51,17835,0.8885737061500549,,,,,,,,
52,18178,,0.6943648457527161,0.7118554711341858,0.6068049669265747,0.6700963973999023,0.6937074661254883,0.6788619160652161,0.8048627376556396,0.9395108222961426
52,18178,0.8871065974235535,,,,,,,,
53,18521,,0.6961648464202881,0.7120615243911743,0.6125172972679138,0.6713922619819641,0.6975985169410706,0.6776658296585083,0.8057535290718079,0.9180168509483337
53,18521,0.8848066926002502,,,,,,,,
54,18864,,0.695408284664154,0.7119455933570862,0.6096542477607727,0.6717464923858643,0.6955478191375732,0.6783087253570557,0.8052469491958618,0.9447089433670044
54,18864,0.8826391100883484,,,,,,,,
55,19207,,0.6929985284805298,0.7127955555915833,0.6055740118026733,0.6679539084434509,0.6924943327903748,0.6749745607376099,0.8041989803314209,0.9492002129554749
55,19207,0.8801693916320801,,,,,,,,
56,19550,,0.6987767219543457,0.7133879065513611,0.6175380349159241,0.6726276874542236,0.6991759538650513,0.6802822947502136,0.8096485733985901,0.9248642921447754
56,19550,0.8791406750679016,,,,,,,,
57,19893,,0.6984676122665405,0.7134523391723633,0.6200553178787231,0.6719279289245605,0.699401319026947,0.6781890988349915,0.8077796697616577,0.9216862916946411
57,19893,0.8759804964065552,,,,,,,,
58,20236,,0.6989193558692932,0.7142121195793152,0.6205117702484131,0.6762906908988953,0.7011628150939941,0.6753932237625122,0.805945634841919,0.9184146523475647
58,20236,0.8747877478599548,,,,,,,,
